;Anio;Trimestre;Banda ancha fija;Dial up;Total;id_provincia
254;2020;2;125799;373,0;126172;15
255;2020;2;128985;501,0;129486;16
256;2020;2;177760;2,0;177762;17
257;2020;2;69521;256,0;69777;18
258;2020;2;113804;148,0;113952;19
259;2020;2;38672;197,0;38869;20
260;2020;2;777795;137,0;777932;21
261;2020;2;105446;1,0;105447;22
262;2020;2;38900;289,0;39189;23
263;2020;2;217134;22,0;217156;24
264;2020;1;3702985;5066,0;3708051;1
265;2020;1;1352104;1390,0;1353494;2
266;2020;1;39634;1,0;39635;3
267;2020;1;120274;3,0;120277;4
268;2020;1;95938;800,0;96738;5
269;2020;1;811044;55,0;811099;7
270;2020;1;113967;3,0;113970;6
271;2020;1;231833;13,0;231846;8
272;2020;1;46434;0,0;46434;9
273;2020;1;91665;0,0;91665;10
274;2020;1;89110;116,0;89226;11
275;2020;1;48337;3,0;48340;12
276;2020;1;182837;615,0;183452;13
277;2020;1;133552;0,0;133552;14
278;2020;1;121354;373,0;121727;15
279;2020;1;125699;501,0;126200;16
280;2020;1;170379;2,0;170381;17
281;2020;1;63975;256,0;64231;18
282;2020;1;110404;148,0;110552;19
283;2020;1;38625;197,0;38822;20
284;2020;1;770981;137,0;771118;21
285;2020;1;102754;1,0;102755;22
286;2020;1;38505;289,0;38794;23
287;2020;1;200045;22,0;200067;24
288;2019;4;3681120;5134,0;3686254;1
289;2019;4;1356695;1410,0;1358105;2
290;2019;4;38310;1,0;38311;3
291;2019;4;117900;3,0;117903;4
292;2019;4;95292;810,0;96102;5
293;2019;4;806633;55,0;806688;7
294;2019;4;113831;3,0;113834;6
295;2019;4;239017;13,0;239030;8
296;2019;4;46711;0,0;46711;9
297;2019;4;88881;0,0;88881;10
298;2019;4;90280;119,0;90399;11
299;2019;4;48999;3,0;49002;12
300;2019;4;185157;623,0;185780;13
301;2019;4;135813;0,0;135813;14
302;2019;4;116069;376,0;116445;15
303;2019;4;126636;504,0;127140;16
304;2019;4;172443;2,0;172445;17
305;2019;4;64715;259,0;64974;18
306;2019;4;108053;148,0;108201;19
307;2019;4;39170;200,0;39370;20
308;2019;4;769019;150,0;769169;21
309;2019;4;103587;1,0;103588;22
310;2019;4;40101;291,0;40392;23
311;2019;4;198621;23,0;198644;24
312;2019;3;3950114;10119,0;3960233;1
313;2019;3;1437734;3477,0;1441211;2
314;2019;3;32391;9,0;32400;3
315;2019;3;114438;13,0;114451;4
316;2019;3;87481;1524,0;89005;5
317;2019;3;782946;107,0;783053;7
318;2019;3;112749;10,0;112759;6
319;2019;3;238057;45,0;238102;8
320;2019;3;46066;0,0;46066;9
321;2019;3;86575;1,0;86576;10
322;2019;3;90559;269,0;90828;11
323;2019;3;49659;18,0;49677;12
324;2019;3;223015;1322,0;224337;13
325;2019;3;133883;0,0;133883;14
326;2019;3;123435;1986,0;125421;15
327;2019;3;143391;904,0;144295;16
328;2019;3;151834;1,0;151835;17
329;2019;3;72535;563,0;73098;18
330;2019;3;122409;291,0;122700;19
331;2019;3;37642;328,0;37970;20
332;2019;3;760706;228,0;760934;21
333;2019;3;133130;2,0;133132;22
334;2019;3;48043;544,0;48587;23
335;2019;3;164099;32,0;164131;24
336;2019;2;3845594;10104,0;3855698;1
337;2019;2;1412177;3443,0;1415620;2
338;2019;2;33626;9,0;33635;3
339;2019;2;108721;13,0;108734;4
340;2019;2;86038;1518,0;87556;5
341;2019;2;775023;105,0;775128;7
342;2019;2;111539;10,0;111549;6
343;2019;2;235780;44,0;235824;8
344;2019;2;46438;0,0;46438;9
345;2019;2;86706;1,0;86707;10
346;2019;2;89937;268,0;90205;11
347;2019;2;50283;18,0;50301;12
348;2019;2;222535;1322,0;223857;13
349;2019;2;132878;0,0;132878;14
350;2019;2;120954;1999,0;122953;15
351;2019;2;137632;915,0;138547;16
352;2019;2;142567;1,0;142568;17
353;2019;2;69461;564,0;70025;18
354;2019;2;117094;291,0;117385;19
355;2019;2;30225;325,0;30550;20
356;2019;2;743258;226,0;743484;21
357;2019;2;126752;2,0;126754;22
358;2019;2;46910;544,0;47454;23
359;2019;2;166299;32,0;166331;24
360;2019;1;3736563;10104,0;3746667;1
361;2019;1;1396157;3443,0;1399600;2
362;2019;1;33613;9,0;33622;3
363;2019;1;103664;13,0;103677;4
364;2019;1;78260;1518,0;79778;5
365;2019;1;744010;105,0;744115;7
366;2019;1;102477;10,0;102487;6
367;2019;1;232403;44,0;232447;8
368;2019;1;45211;0,0;45211;9
369;2019;1;90146;1,0;90147;10
370;2019;1;88892;268,0;89160;11
371;2019;1;51638;18,0;51656;12
372;2019;1;204976;1322,0;206298;13
373;2019;1;122720;0,0;122720;14
374;2019;1;112321;2056,0;114377;15
375;2019;1;120173;915,0;121088;16
376;2019;1;136019;1,0;136020;17
377;2019;1;61881;564,0;62445;18
378;2019;1;96044;291,0;96335;19
379;2019;1;24580;325,0;24905;20
380;2019;1;736851;227,0;737078;21
381;2019;1;89851;2,0;89853;22
382;2019;1;45903;544,0;46447;23
383;2019;1;171970;32,0;172002;24
384;2018;4;3626502;10104,0;3636606;1
385;2018;4;1385577;3443,0;1389020;2
386;2018;4;33574;9,0;33583;3
387;2018;4;103257;13,0;103270;4
388;2018;4;77204;1518,0;78722;5
389;2018;4;737234;105,0;737339;7
390;2018;4;100591;10,0;100601;6
391;2018;4;222003;44,0;222047;8
392;2018;4;45204;0,0;45204;9
393;2018;4;90132;1,0;90133;10
394;2018;4;85368;268,0;85636;11
395;2018;4;51633;18,0;51651;12
396;2018;4;204982;1322,0;206304;13
397;2018;4;116273;0,0;116273;14
398;2018;4;112309;2056,0;114365;15
399;2018;4;115922;915,0;116837;16
400;2018;4;134577;1,0;134578;17
401;2018;4;61834;564,0;62398;18
402;2018;4;96040;291,0;96331;19
403;2018;4;24443;325,0;24768;20
404;2018;4;720161;229,0;720390;21
405;2018;4;89333;2,0;89335;22
406;2018;4;45716;544,0;46260;23
407;2018;4;171972;32,0;172004;24
408;2018;3;3599714;10563,0;3610277;1
409;2018;3;1385804;6686,0;1392490;2
410;2018;3;34215;11,0;34226;3
411;2018;3;102021;12,0;102033;4
412;2018;3;101310;2426,0;103736;5
413;2018;3;725764;94,0;725858;7
414;2018;3;99445;11,0;99456;6
415;2018;3;204560;48,0;204608;8
416;2018;3;44865;0,0;44865;9
417;2018;3;44934;1,0;44935;10
418;2018;3;83180;244,0;83424;11
419;2018;3;51855;17,0;51872;12
420;2018;3;205545;1484,0;207029;13
421;2018;3;108042;0,0;108042;14
422;2018;3;114713;2005,0;116718;15
423;2018;3;112433;1059,0;113492;16
424;2018;3;132882;1,0;132883;17
425;2018;3;63823;658,0;64481;18
426;2018;3;74121;300,0;74421;19
427;2018;3;33565;434,0;33999;20
428;2018;3;694883;217,0;695100;21
429;2018;3;86358;2,0;86360;22
430;2018;3;45056;508,0;45564;23
431;2018;3;171135;31,0;171166;24
432;2018;2;3490134;10565,0;3500699;1
433;2018;2;1362498;6688,0;1369186;2
434;2018;2;34078;11,0;34089;3
435;2018;2;98509;12,0;98521;4
436;2018;2;98137;2427,0;100564;5
437;2018;2;712979;94,0;713073;7
438;2018;2;97946;11,0;97957;6
439;2018;2;199937;48,0;199985;8
440;2018;2;44554;;44554;9
441;2018;2;45132;1,0;45133;10
442;2018;2;82177;244,0;82421;11
443;2018;2;51931;17,0;51948;12
444;2018;2;199468;1484,0;200952;13
445;2018;2;106147;;106147;14
446;2018;2;113842;2006,0;115848;15
447;2018;2;111176;1059,0;112235;16
448;2018;2;134166;1,0;134167;17
449;2018;2;63443;658,0;64101;18
450;2018;2;21168;300,0;21468;19
451;2018;2;33970;435,0;34405;20
452;2018;2;684243;309,0;684552;21
453;2018;2;83773;2,0;83775;22
454;2018;2;44199;508,0;44707;23
455;2018;2;169926;31,0;169957;24
456;2018;1;3464882;10564,0;3475446;1
457;2018;1;1359882;6688,0;1366570;2
458;2018;1;33934;11,0;33945;3
459;2018;1;96925;12,0;96937;4
460;2018;1;95532;2427,0;97959;5
461;2018;1;713825;101,0;713926;7
462;2018;1;94406;11,0;94417;6
463;2018;1;197346;48,0;197394;8
464;2018;1;32328;0,0;32328;9
465;2018;1;44405;1,0;44406;10
466;2018;1;82668;396,0;83064;11
467;2018;1;52228;17,0;52245;12
468;2018;1;199463;1484,0;200947;13
469;2018;1;103580;0,0;103580;14
470;2018;1;115897;2006,0;117903;15
471;2018;1;110057;1062,0;111119;16
472;2018;1;133182;1,0;133183;17
473;2018;1;62610;658,0;63268;18
474;2018;1;21096;300,0;21396;19
475;2018;1;33970;435,0;34405;20
476;2018;1;679717;309,0;680026;21
477;2018;1;82916;2,0;82918;22
478;2018;1;31106;508,0;31614;23
479;2018;1;168026;31,0;168057;24
480;2017;4;3171206;10690,0;3181896;1
481;2017;4;1575418;6906,0;1582324;2
482;2017;4;29548;10,0;29558;3
483;2017;4;96603;12,0;96615;4
484;2017;4;91012;2428,0;93440;5
485;2017;4;709874;105,0;709979;7
486;2017;4;93760;11,0;93771;6
487;2017;4;193654;49,0;193703;8
488;2017;4;32056;0,0;32056;9
489;2017;4;43551;1,0;43552;10
490;2017;4;81675;396,0;82071;11
491;2017;4;52177;17,0;52194;12
492;2017;4;178661;1490,0;180151;13
493;2017;4;103895;0,0;103895;14
494;2017;4;114965;2006,0;116971;15
495;2017;4;108702;1062,0;109764;16
496;2017;4;132811;1,0;132812;17
497;2017;4;57965;659,0;58624;18
498;2017;4;14604;300,0;14904;19
499;2017;4;29018;434,0;29452;20
500;2017;4;672137;323,0;672460;21
501;2017;4;68842;2,0;68844;22
502;2017;4;28346;508,0;28854;23
503;2017;4;162298;34,0;162332;24
504;2017;3;3046758;11202,0;3057960;1
505;2017;3;1563289;7070,0;1570359;2
506;2017;3;33467;11,0;33478;3
507;2017;3;93747;12,0;93759;4
508;2017;3;81067;2477,0;83544;5
509;2017;3;696536;108,0;696644;7
510;2017;3;92536;12,0;92548;6
511;2017;3;185414;50,0;185464;8
512;2017;3;32105;0,0;32105;9
513;2017;3;43241;1,0;43242;10
514;2017;3;79280;410,0;79690;11
515;2017;3;51896;17,0;51913;12
516;2017;3;190958;1533,0;192491;13
517;2017;3;100476;0,0;100476;14
518;2017;3;113755;2029,0;115784;15
519;2017;3;106393;1103,0;107496;16
520;2017;3;132517;1,0;132518;17
521;2017;3;61789;660,0;62449;18
522;2017;3;21408;311,0;21719;19
523;2017;3;33222;468,0;33690;20
524;2017;3;662086;256,0;662342;21
525;2017;3;82792;2,0;82794;22
526;2017;3;30883;583,0;31466;23
527;2017;3;160979;33,0;161012;24
528;2017;2;3067430;11201,0;3078631;1
529;2017;2;1592175;8016,0;1600191;2
530;2017;2;26692;13,0;26705;3
531;2017;2;90597;14,0;90611;4
532;2017;2;62245;1730,0;63975;5
533;2017;2;657505;133,0;657638;7
534;2017;2;90085;12,0;90097;6
535;2017;2;182675;57,0;182732;8
536;2017;2;29956;0,0;29956;9
537;2017;2;42656;1,0;42657;10
538;2017;2;72573;449,0;73022;11
539;2017;2;16271;18,0;16289;12
540;2017;2;169302;1451,0;170753;13
541;2017;2;99794;0,0;99794;14
542;2017;2;115321;2112,0;117433;15
543;2017;2;100621;998,0;101619;16
544;2017;2;108540;1,0;108541;17
545;2017;2;51261;620,0;51881;18
546;2017;2;12992;315,0;13307;19
547;2017;2;26019;369,0;26388;20
548;2017;2;566918;362,0;567280;21
